143	SAKAOĞLU İNŞAAT BİNASI	DIŞ CEPHE RESTORASYON İŞLEMİ	NİŞANTAŞI	1994
144	MUSTAFA DÜNDAR BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	KOŞUYOLU	1994
145	HUZUR APT.	DIŞ, İÇ CEPHE ONARIM VE BOYA İŞLEMİ	CADDEBOSTAN	1994
146	YAŞAR HABİB BİNASI	TERAS YALITIM İŞLEMİ	ULUS	1994
147	HANIMELİ ÇİÇEKÇİLİK BİNASI	ZEMİN YALITIM İŞLEMİ	TEŞVİKİYE	1994
148	KEMAL AMONOEL BİNASI	DIŞ CEPHE ONARIM, BOYA VE TERAS YALITIM İŞLEMİ	TAKSİM	1994
149	BONJUR ZAVARO BİNASI	DIŞ CEPHE ONARIM, BOYA VE ZEMİN YALITIM İŞLEMİ	BÜYÜKADA	1994
150	YUSUF AKARİ VİLLA	İÇ CEPHE ONARIM VE BOYA İŞLEMİ	SİNANOBA	1994
151	VATAN MOBİLYA BİNASI	ÇATI VE TERAS ONARIM, YALITIM İŞLEMİ	DUDULLU	1994
152	ERENKÖY PALAS APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ERENKÖY	1994
153	EREN DENİZCİLİK BİNASI	MİNERAL SIVA VE TERAS YALITIM İŞLEMİ	TUZLA	1994
154	KAYSERİLİLER APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ERENKÖY	1994
155	VARDAR APT. A-B BL.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	SUADİYE	1994
156	AV. MİTHAT KONA APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	MODA	1994
157	MURAT APT.	ÇATI TAMİR YALITIM İŞLEMİ	BEŞİKTAŞ	1994
158	HOME STORE BİNASI	DIŞ, İÇ CEPHE ONARIM VE BOYA İŞLEMİ	ULUS	1994
159	ALP PALAS APT.	İÇ CEPHE ONARIM VE BOYA İŞLEMİ	NİŞANTAŞI	1994
160	BÜYÜK ABUEFENDİ HAN	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	EMİNÖNÜ	1994
161	KUTLU MEMİŞOĞLU VİLLA	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	DRAGOS	1994
162	HUZUR APT.	DIŞ CEPHE KISMİ ONARIM VE BOYA İŞLEMİ	MODA	1994
163	CİHANGİR APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	SUADİYE	1994
164	KADOSAN SANAYİ SİT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	DUDULLU	1994
165	K. KAHVECİ MEH. EF. FAB. BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	DUDULLU	1994
166	İSMET TÜRK İNŞ.	DIŞ CEPHE KISMİ ONARIM VE BOYA İŞLEMİ	ACIBADEM	1994
167	ÖZYEŞİL APT.	İÇ CEPHE ONARIM VE BOYA İŞLEMİ	GÖZTEPE	1994
168	EMRE NİŞANCI BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	RUMELİHİSARI	1994
169	PROF. DR. DEMİR BUDAK BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ETİLER	1994
170	H5 BL.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ATAKÖY	1994
171	MEHMET ALİ ŞENOL BİNASI	DIŞ CEPHE KISMİ ONARIM VE BOYA İŞLEMİ	KÜÇÜKKÖY	1994
172	TİRYAKİOĞLU APT.	DIŞ, İÇ CEPHE ONARIM VE BOYA İŞLEMİ	ERENKÖY	1994
173	NİLÜFER APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BAKIRKÖY	1994
174	MARMADOS SİT. 17. BL.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	TUZLA	1994
175	YALI APT.	TERAS YALITIM VE İÇ BOYA İŞLEMİ	SUADİYE	1994
176	PAŞADAN APT.	DIŞ, İÇ CEPHE ONARIM VE BOYA İŞLEMİ	ERENKÖY	1994
177	İSMET DAYIOĞLU BİNASI	TERAS YALITIM İŞLEMİ	SUADİYE	1994
178	L.P DEKORASYON	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ULUS	1994
179	EMİN SARAÇOĞLU BİNASI	SU DEPOSU ONARIM VE YALITIM İŞLEMİ	ULUS	1994
180	RENK APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BAKIRKÖY	1994
181	DENİZ APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BAKIRKÖY	1994
182	KORU APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BAKIRKÖY	1994
183	ERKUL YURT BİNASI	MİNERAL SIVA VE TERAS YALITIM İŞLEMİ	İSTİNYE	1994
184	ESEN APT.	ÇATI VE TERAS ONARIM, YALITIM İŞLEMİ	SELAMİÇEŞME	1994
185	ÇAMLICA APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ŞİŞLİ	1994
186	DEMİRHAN AKYÜZ BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ŞİŞLİ	1994
187	ANIL APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BAKIRKÖY	1994
188	RİDANİYE ÖĞRENCİ YURDU BİNASI	TERAS YALITIM İŞLEMİ	ÜSKÜDAR	1994
189	FAHRİ FAYSAL TUNÇ BİNASI	MİNERAL SIVA İŞLEMİ	KARAKÖY	1994
190	RUS KONSOLOSLUĞU BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	KARAKÖY	1995
191	ASLI CAN İŞHANI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	HADIMKÖY	1995
192	DUYGU KONUT	ÇATI VE YAN CEPHE ONDÜLİN KAPLAMA İŞLEMİ	ETİLER	1995
193	HOTEL NİZAPARK	İÇ CEPHE ONARIM VE BOYA İŞLEMİ	ESENTEPE	1995
194	FANEL GİYİM SAN. BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ÇAĞLAYAN	1995
195	DEMET APT.	DIŞ CEPHE ONARIM, BOYA VE SU DEPOSU YAPIM İŞ.	ETİLER	1995
196	ESEM A.Ş BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BOMONTİ	1995
197	POLAT ESİN 12 APT.	DIŞ, İÇ CEPHE ONARIM, BOYA VE ÇATI YALITIM İŞL.	GAYRETTEPE	1995
198	İHSAN AKDENİZ İŞ MRK.	TEMEL YALITIM İŞLEMİ	İKİTELLİ	1995
199	PİRAYE UZUN ERDEM ERTUNDA BİNASI	TERAS YALITIM İŞLEMİ	ETİLER	1995
200	ÇETİN PELİT BİNASI	TERAS YALITIM İŞLEMİ	BAYRAMOĞLU	1995
201	ROBER SUSA BİNASI	TERAS YALITIM İŞLEMİ	BÜYÜKADA	1995
202	ASLI TEKSTİL BİNASI	İÇ DEKORASYON İŞLEMİ	MERTER	1995
203	ŞELALE APT.	YAN CEPHE ONDÜLİN KAPLAMA, İÇ BOYA İŞLEMİ	NİŞANTAŞI	1995
204	SİLAY APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BALMUMCU	1995
205	BOĞAZİÇİ APT.	DIŞ CEPHE ONARIM, BOYA VE ÇATI-TERAS YALITI İŞL.	BALTALİMANI	1995
206	ÇELİK APT. A-B-C BL.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	GAYRETTEPE	1995
207	HAREKET SİT. 2. BL	DIŞ CEPHE ONARIM, BOYA VE ÇATI YALITIM İŞLEMİ	ETİLER	1995
208	1.YILDIZ SİT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BAKIRKÖY	1995
209	SÜMER APT.	DIŞ, İÇ CEPHE ONARIM VE BOYA İŞLEMİ	SELAMİÇEŞME	1995
210	DAĞ APT.	ÇATI ONARIM VE YALITIM İŞLEMİ	TAKSİM	1995
211	VEZİROĞLU APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	NİŞANTAŞI	1995
212	DÜNYA APT. A-B BL.	DIŞ CEPHE ONARIM, BOYA VE ÇATI YALITIM İŞLEMİ	MODA	1995
213	DOĞAN APT.	TEMEL YALITIM İŞLEMİ	ETİLER	1995
214	UĞUR DERMAN VİLLA	DIŞ CEPHE ONARIM, BOYA VE ÇATI YALITIM İŞLEMİ	HEREKE	1995
215	HAREKET SİT. 1. BL.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ETİLER	1995
216	OCAK KENT KOOP. 3. BL.	DIŞ CEPHE KISMİ ONARIM, BOYA VE TERAS YALITIM	GÜRPINAR	1995
217	TANGÜN APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	CADDEBOSTAN	1995
218	AKIN SİTESİ	ÇATI ONARIM VE YALITIM İŞLEMİ	GAYRETTEPE	1995
219	ARILI PLASTİK A.Ş FABRİKA BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	KURTKÖY	1995
220	O 64 BL.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ATAKÖY	1995
221	İPEK DEMREN ÜLKÜ FAKS BİNASI	DIŞ CEPHE MERMER TEMİZLİK VE CİLA İŞLEMİ	NİŞANTAŞI	1995
222	METİN APT	ÇATI TAMİR YALITIM İŞLEMİ	ETİLER	1995
223	ACAR KENT C BL.	İNŞAAT VE DEKORASYON İŞLEMİ	BEYKOZ	1995
224	ÖZATALAR APT.	ÇATI VE TERAS ONARIM, YALITIM İŞLEMİ	ÜSKÜDAR	1995
225	SÖKMEN APT.	DIŞ, İÇ CEPHE ONARIM VE BOYA İŞLEMİ	KÜÇÜKYALI	1995
226	N3 940 BL.	ÇATI ONARIM VE YALITIM İŞLEMİ	ATAKÖY	1995
227	TÜTAV VAKFI POLİKLİNİK BİNASI	TERAS, BANYO YALITIM İŞLEMİ	FATİH	1995
228	SARICA APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	ERENKÖY	1995
